SchoolYear;SubjectID;StudentID;Failures;Absences;P1_grade;P2_grade;P3_grade
2017;1;1;0;4;0;11;11
2017;1;2;0;2;9;11;11
2017;1;3;0;6;12;13;12
2017;1;4;0;0;14;14;14
2017;1;5;0;0;11;13;13
2017;1;6;0;6;12;12;13
2017;1;7;0;0;13;12;13
2017;1;8;0;2;10;13;13
2017;1;9;0;0;15;16;17
2017;1;10;0;0;12;12;13
2017;1;11;0;2;14;14;14
2017;1;12;0;0;10;12;13
2017;1;13;0;0;12;13;12
2017;1;14;0;0;12;12;13
2017;1;15;0;0;14;14;15
2017;1;16;0;6;17;17;17
2017;1;17;0;10;13;13;14
2017;1;18;0;2;13;14;14
2017;1;19;3;2;8;8;7
2017;1;20;0;6;12;12;12
2017;1;21;0;0;12;13;14
2017;1;22;0;0;11;12;12
2017;1;23;0;0;12;13;14
2017;1;24;0;2;10;10;10
2017;1;25;0;2;10;11;10
2017;1;26;0;6;10;11;12
2017;1;27;0;8;11;12;12
2017;1;28;0;0;11;11;11
2017;1;29;0;2;12;12;13
2017;1;30;0;4;12;11;12
2017;1;31;0;0;10;11;11
2017;1;32;0;2;15;15;15
2017;1;33;0;0;13;14;15
2017;1;34;0;0;13;12;12
2017;1;35;0;4;12;12;12
2017;1;36;0;4;11;11;11
2017;1;37;0;0;14;14;14
2017;1;38;0;4;13;13;13
2017;1;39;0;2;11;12;12
2017;1;40;0;8;14;13;12
2017;1;41;0;16;11;11;10
2017;1;42;0;8;10;11;11
2017;1;43;0;0;14;15;15
2017;1;44;0;0;9;10;10
2017;1;45;1;14;10;11;11
2017;1;46;0;4;10;11;11
2017;1;47;0;6;13;12;13
2017;1;48;0;2;17;17;17
2017;1;49;0;4;11;12;13
2017;1;50;0;2;13;12;12
2017;1;51;0;0;14;13;13
2017;1;52;0;0;16;14;16
2017;1;53;0;4;10;9;9
2017;1;54;0;0;13;12;12
2017;1;55;0;0;13;12;13
2017;1;56;0;2;12;13;12
2017;1;57;0;0;15;14;15
2017;1;58;0;8;15;15;16
2017;1;59;0;0;14;13;14
2017;1;60;0;2;16;15;16
2017;1;61;0;0;17;16;16
2017;1;62;0;0;10;10;16
2017;1;63;0;0;13;13;10
2017;1;64;0;0;14;13;13
2017;1;65;0;0;13;12;12
2017;1;66;0;2;16;15;16
2017;1;67;0;0;11;12;12
2017;1;68;0;0;10;9;10
