ProdProm_SalProductPromotionId,ProdProm_SalSaleId,ProdProm_SalQuantity
1,47,80
1,265,30
1,375,50
1,421,20
1,515,70
1,701,90
1,742,50
1,799,90
1,809,40
1,936,100
1,1026,100
1,1060,100
1,1080,20
1,1184,50
1,1189,40
1,1330,60
1,1503,80
1,1629,50
1,1727,70
1,1730,80
1,1814,80
1,1960,100
1,2183,10
1,2214,50
1,2279,70
1,2292,50
1,2406,50
1,2424,90
1,2562,40
1,2724,50
1,2734,90
1,2743,80
1,2751,80
1,2759,30
1,2841,70
1,2908,60
1,3085,50
1,3109,30
1,3154,20
1,3193,70
1,3203,60
1,3341,20
1,3354,70
1,3363,60
1,3613,30
1,3783,40
1,3789,70
1,4055,20
1,4066,100
1,4138,70
1,4167,100
1,4247,100
1,4258,70
1,4429,40
1,4477,10
1,4502,80
1,4673,70
1,4703,10
1,4768,100
1,4867,10
1,4936,80
1,4947,100
1,4952,10
1,5023,70
1,5042,40
1,5200,20
1,5270,30
1,5375,30
1,5430,80
1,5515,90
1,5645,80
1,5717,20
1,5844,80
1,5848,100
1,5937,50
1,6095,50
1,6122,80
1,6130,90
1,6161,10
1,6241,10
1,6261,30
1,6307,40
1,6471,40
1,6502,70
1,6623,90
1,6753,60
1,6813,20
1,6903,100
1,7117,70
1,7160,30
1,7164,50
1,7177,100
1,7210,60
1,7211,40
1,7227,30
1,7266,90
1,7376,60
1,7443,90
1,7500,50
1,7527,10
1,7556,20
1,7567,10
1,7637,30
1,7784,20
1,7788,10
1,7806,40
1,7908,100
1,7992,20
1,8024,80
1,8112,50
1,8129,70
1,8169,20
1,8256,80
1,8265,80
1,8467,80
1,8510,70
1,8550,70
1,8574,30
1,8610,60
1,8662,90
1,8798,40
1,8826,50
1,8869,60
1,8890,60
1,8996,70
1,9018,70
1,9084,80
1,9126,100
1,9323,10
1,9354,90
1,9388,30
1,9807,50
1,9815,100
1,9826,90
1,10032,60
1,10091,50
1,10126,60
1,10147,80
1,10153,20
1,10260,20
1,10275,30
1,10329,80
1,10346,100
1,10353,40
1,10426,30
1,10759,10
1,10775,40
1,10897,20
1,10987,10
1,10996,40
1,11018,90
1,11041,30
1,11366,100
1,11576,10
1,11944,40
1,11974,90
1,12010,90
1,12053,80
1,12108,40
1,12114,20
1,12124,30
1,12369,70
1,12469,60
1,12474,80
1,12477,90
1,12509,10
1,12650,40
1,12745,90
1,12766,60
1,12826,90
1,12875,70
1,12878,20
1,12892,80
1,12930,20
1,12944,80
1,13115,10
1,13159,90
1,13244,70
1,13305,20
1,13388,40
1,13420,70
1,13498,20
1,13802,80
1,13896,60
1,13907,100
1,13939,80
1,13979,100
1,14049,10
1,14082,80
1,14278,90
1,14360,70
1,14607,50
1,14613,100
1,14698,10
1,14734,60
1,14763,20
1,14768,30
1,14813,10
1,14829,10
1,14839,60
1,14853,60
1,14871,90
1,14907,10
1,14952,40
1,15040,20
1,15177,20
1,15206,80
1,15429,100
1,15457,50
1,15579,30
1,15613,40
1,15737,80
1,15869,50
1,15919,80
1,16125,50
1,16213,90
1,16242,70
1,16246,60
1,16306,60
1,16371,50
1,16377,100
1,16456,10
1,16533,70
1,16621,100
1,16721,50
1,16747,30
1,16887,20
1,16939,40
1,17039,40
1,17057,30
1,17195,60
1,17364,40
1,17381,20
1,17395,40
1,17534,50
1,17670,10
1,17680,40
1,17801,60
1,17844,20
1,17917,100
1,17996,60
1,18177,30
1,18331,50
1,18535,90
1,18676,90
1,18818,20
1,18930,90
1,18931,10
1,19055,50
1,19074,100
1,19081,50
1,19093,70
1,19105,90
1,19125,30
1,19151,100
1,19260,40
1,19316,80
1,19322,20
1,19385,20
1,19395,20
1,19436,100
1,19486,10
1,19504,80
1,19534,20
1,19536,40
1,19607,60
1,19661,70
1,19680,90
1,19687,30
1,19843,10
1,19869,10
1,19952,100
1,20026,40
1,20199,10
1,20402,20
1,20408,40
1,20447,60
1,20452,50
1,20547,100
1,20553,50
1,20634,10
1,20692,80
1,20745,90
1,20762,100
1,20866,40
1,20958,30
1,21042,50
1,21054,80
1,21066,40
1,21125,100
1,21137,30
1,21190,80
1,21288,60
1,21357,60
1,21499,90
1,21524,100
1,21552,10
1,21569,60
1,21738,20
1,21785,80
1,21840,40
1,21929,70
1,21932,50
1,22007,10
1,22056,10
1,22102,30
1,22126,10
1,22130,100
1,22239,40
1,22379,60
1,22547,100
1,22559,30
1,22586,20
1,22656,90
1,22659,60
1,22803,80
1,23026,60
1,23213,60
1,23282,40
1,23327,80
1,23373,70
1,23418,60
1,23590,50
1,23693,100
1,23793,20
1,23941,30
1,23975,30
1,24028,30
1,24076,50
1,24137,90
1,24200,10
1,24223,40
1,24281,80
1,24312,10
1,24376,30
1,24451,60
1,24452,10
1,24508,70
1,24683,100
1,24687,40
1,24790,40
1,24800,100
1,24926,100
1,24938,30
1,25130,20
1,25206,50
1,25218,30
1,25245,60
1,25250,100
1,25343,30
1,25400,10
1,25518,60
1,25540,70
1,25544,70
1,25736,40
1,25855,20
1,25919,20
1,25951,100
1,26012,60
1,26051,60
1,26100,40
1,26104,70
1,26137,10
1,26173,50
1,26290,20
1,26306,90
1,26469,40
1,26587,50
1,26640,100
1,26648,60
1,26661,90
1,26679,10
1,26805,20
1,26861,10
1,26913,30
1,26946,90
1,26957,100
1,26979,90
1,27030,60
1,27350,70
1,27371,10
1,27467,50
1,27600,10
1,27715,70
1,27854,70
1,27952,100
1,28077,30
1,28110,70
1,28118,60
1,28135,10
1,28191,100
1,28328,80
1,28515,100
1,28594,60
1,28638,70
1,28640,40
1,28762,80
1,28806,50
1,28826,40
1,28851,40
1,28978,20
1,28994,10
1,29033,100
1,29036,70
1,29113,10
1,29164,80
1,29174,20
1,29194,30
1,29444,40
1,29445,40
1,29464,80
1,29484,100
1,29490,90
1,29606,40
1,29634,50
1,29651,10
1,29659,50
1,29714,50
1,29796,40
1,29807,40
1,29836,70
1,29926,80
1,30011,80
1,30041,50
1,30128,90
1,30183,40
1,30200,100
1,30255,10
1,30261,70
1,30287,60
1,30365,40
1,30393,20
1,30541,40
1,30600,70
1,30656,10
1,30675,40
1,30740,100
1,30749,70
1,30760,30
1,30764,50
1,30809,70
1,30844,80
1,30883,80
1,30928,100
1,30974,60
1,30978,100
1,31004,40
1,31018,20
1,31105,10
1,31112,40
1,31414,30
1,31506,80
1,31556,40
1,31779,40
1,31871,70
1,31933,70
1,31946,30
1,32041,30
1,32157,70
1,32207,50
1,32209,70
1,32221,90
1,32348,70
1,32690,50
1,32728,90
1,32763,100
1,32788,100
1,32820,90
1,32938,90
1,32977,30
1,33107,70
1,33135,80
1,33265,90
1,33338,80
1,33368,100
1,33392,80
1,33404,20
1,33430,20
1,33446,80
1,33454,20
1,33464,50
1,33478,40
1,33539,50
1,33543,80
1,33602,20
1,33610,20
1,33632,80
1,33647,100
1,33678,90
1,33707,50
1,33812,10
1,33917,30
1,33994,80
1,34146,70
1,34208,100
1,34362,10
1,34388,100
1,34603,60
1,34611,20
1,34648,60
1,34751,20
1,34803,10
1,34860,60
1,34874,50
1,34984,80
1,35110,20
1,35181,40
1,35211,20
1,35229,30
1,35278,50
1,35387,80
1,35636,100
1,35788,10
1,35795,10
1,35906,100
1,36028,20
1,36038,40
1,36178,60
1,36218,30
1,36225,40
1,36232,20
1,36252,70
1,36322,90
1,36328,10
1,36426,60
1,36458,90
1,36477,70
1,36488,100
1,36493,60
1,36535,20
1,36574,60
1,36593,10
1,36697,90
1,36747,100
1,36759,10
1,36911,60
1,36943,60
1,37038,80
1,37059,50
1,37102,20
1,37109,10
1,37158,30
1,37160,40
1,37237,30
1,37291,90
1,37336,70
1,37365,90
1,37607,10
1,37743,20
1,37847,80
1,37854,40
1,38027,30
1,38231,80
1,38348,40
1,38393,60
1,38430,30
1,38627,70
1,38681,30
1,38739,40
1,38808,40
1,38949,10
1,39024,70
1,39112,70
1,39226,100
1,39271,40
1,39338,30
1,39485,30
1,39682,60
1,39724,100
1,39778,60
1,39805,70
1,39862,80
1,39919,10
1,39934,40
1,40019,70
1,40077,90
1,40123,100
1,40138,90
1,40150,50
1,40167,30
1,40217,80
1,40433,90
1,40441,50
1,40491,70
1,40516,50
1,40555,20
1,40590,50
1,40607,20
1,40652,90
1,40659,40
1,40728,70
1,40729,30
1,40760,100
1,40803,90
1,40814,70
1,40925,90
1,40930,10
1,41017,70
1,41031,90
1,41033,20
1,41168,80
1,41270,40
1,41272,10
1,41282,80
1,41373,30
1,41381,40
1,41685,100
1,41723,100
1,41724,50
1,41741,10
1,41838,30
1,41937,100
1,41957,10
1,41961,90
1,42072,80
1,42179,80
1,42241,10
1,42243,90
1,42261,80
1,42272,10
1,42591,60
1,42634,20
1,42778,60
1,42818,70
