Prod_PromProductPromotionId,Prod_PromProductId,Prod_PromPromotionId,ProdNewPrice
1,1,1,NULL
2,2,1,NULL
3,3,1,NULL
4,4,1,NULL
5,5,1,NULL
6,6,1,NULL
7,7,1,NULL
8,8,1,NULL
9,9,1,NULL
10,10,1,NULL
11,11,1,NULL
12,12,1,NULL
13,13,1,NULL
14,14,1,NULL
15,15,1,NULL
16,16,1,NULL
17,17,1,NULL
18,18,1,NULL
19,19,1,NULL
20,20,1,NULL
21,21,1,NULL
22,22,1,NULL
23,23,1,NULL
24,24,1,NULL
25,25,1,NULL
26,26,1,NULL
27,27,1,NULL
28,28,1,NULL
29,29,1,NULL
30,30,1,NULL
31,31,1,NULL
32,32,1,NULL
33,33,1,NULL
34,34,1,NULL
35,35,1,NULL
36,36,1,NULL
37,37,1,NULL
38,38,1,NULL
39,39,1,NULL
40,40,1,NULL
41,41,1,NULL
42,42,1,NULL
43,43,1,NULL
44,44,1,NULL
45,45,1,NULL
46,46,1,NULL
47,47,1,NULL
48,48,1,NULL
49,49,1,NULL
50,50,1,NULL
51,51,1,NULL
52,52,1,NULL
53,53,1,NULL
54,54,1,NULL
55,55,1,NULL
56,56,1,NULL
57,57,1,NULL
58,58,1,NULL
59,59,1,NULL
60,60,1,NULL
61,61,1,NULL
62,62,1,NULL
63,63,1,NULL
64,64,1,NULL
65,65,1,NULL
66,66,1,NULL
67,67,1,NULL
68,68,1,NULL
69,69,1,NULL
70,70,1,NULL
71,71,1,NULL
72,72,1,NULL
73,73,1,NULL
74,74,1,NULL
75,75,1,NULL
76,76,1,NULL
77,77,1,NULL
78,78,1,NULL
79,79,1,NULL
80,80,1,NULL
81,81,1,NULL
82,82,1,NULL
83,83,1,NULL
84,84,1,NULL
85,85,1,NULL
86,86,1,NULL
87,87,1,NULL
88,88,1,NULL
89,89,1,NULL
90,90,1,NULL
91,91,1,NULL
92,92,1,NULL
93,93,1,NULL
94,94,1,NULL
95,95,1,NULL
96,96,1,NULL
97,97,1,NULL
98,98,1,NULL
99,99,1,NULL
100,100,1,NULL
101,101,1,NULL
102,102,1,NULL
103,103,1,NULL
104,104,1,NULL
105,105,1,NULL
106,106,1,NULL
107,107,1,NULL
108,108,1,NULL
109,109,1,NULL
110,110,1,NULL
111,111,1,NULL
112,112,1,NULL
113,113,1,NULL
114,114,1,NULL
115,115,1,NULL
116,116,1,NULL
117,117,1,NULL
118,118,1,NULL
119,119,1,NULL
120,120,1,NULL
121,121,1,NULL
122,122,1,NULL
123,123,1,NULL
124,124,1,NULL
125,125,1,NULL
126,126,1,NULL
127,127,1,NULL
128,128,1,NULL
129,129,1,NULL
130,130,1,NULL
131,131,1,NULL
132,132,1,NULL
133,133,1,NULL
134,134,1,NULL
135,135,1,NULL
136,136,1,NULL
137,137,1,NULL
138,138,1,NULL
139,139,1,NULL
140,140,1,NULL
141,141,1,NULL
142,142,1,NULL
143,143,1,NULL
144,144,1,NULL
145,145,1,NULL
146,146,1,NULL
147,147,1,NULL
148,148,1,NULL
149,149,1,NULL
150,150,1,NULL
151,151,1,NULL
152,152,1,NULL
153,153,1,NULL
154,154,1,NULL
155,155,1,NULL
156,156,1,NULL
157,157,1,NULL
158,158,1,NULL
159,159,1,NULL
160,160,1,NULL
161,161,1,NULL
162,162,1,NULL
163,163,1,NULL
164,164,1,NULL
165,165,1,NULL
166,166,1,NULL
167,167,1,NULL
168,168,1,NULL
169,169,1,NULL
170,170,1,NULL
171,171,1,NULL
172,172,1,NULL
173,173,1,NULL
174,174,1,NULL
175,175,1,NULL
176,176,1,NULL
177,177,1,NULL
178,178,1,NULL
179,179,1,NULL
180,180,1,NULL
181,181,1,NULL
182,182,1,NULL
183,183,1,NULL
184,184,1,NULL
185,185,1,NULL
186,186,1,NULL
187,187,1,NULL
188,188,1,NULL
189,189,1,NULL
190,190,1,NULL
191,191,1,NULL
192,192,1,NULL
193,193,1,NULL
194,194,1,NULL
195,195,1,NULL
196,196,1,NULL
197,197,1,NULL
198,198,1,NULL
199,199,1,NULL
200,200,1,NULL
201,201,1,NULL
202,202,1,NULL
203,203,1,NULL
204,204,1,NULL
205,205,1,NULL
206,206,1,NULL
207,207,1,NULL
208,208,1,NULL
209,209,1,NULL
210,210,1,NULL
211,211,1,NULL
212,212,1,NULL
213,213,1,NULL
214,214,1,NULL
215,215,1,NULL
216,216,1,NULL
217,217,1,NULL
218,218,1,NULL
219,219,1,NULL
220,220,1,NULL
221,221,1,NULL
222,222,1,NULL
223,223,1,NULL
224,224,1,NULL
225,225,1,NULL
226,226,1,NULL
227,227,1,NULL
